pricestr,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,Hybrid
$4990,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,11.6236,grey,,automatic,sedan,1,4990,8.515191188745565,2007,11,2.4530375141136056,0,0,0,1
$10625,chicago,chicago city,2009 Toyota Camry Hybrid,,4 cylinders,fwd,hybrid,4.3702,grey,,automatic,sedan,1,10625,9.270964993792617,2009,9,1.4748087746506293,0,0,0,1
$14850,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,,gas,3.5721,,,automatic,sedan,1,14850,9.605755144230846,2015,3,1.273153658143102,0,0,0,0
$15630,chicago,chicago city,2016 TOYOTA CAMRY,,,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.656947423415522,2016,2,0.27398874531977835,0,0,0,0
$850,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.745236349484363,1993,25,2.928523523860541,0,0,0,0
$1300,chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,16.824258333333333,grey,,automatic,,0,1300,7.170119543449628,1998,20,2.8228217933308546,0,0,0,0
$1600,chicago,chicago city,1998 toyota camry le,,,,gas,16.824258333333333,,,automatic,,0,1600,7.3777589082278725,1998,20,2.8228217933308546,1,0,0,0
$1500,chicago,chicago city,1998 Toyota Camry,,,,gas,16.824258333333333,,,automatic,,0,1500,7.313220387090301,1998,20,2.8228217933308546,0,0,0,0
$1650,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.408530566894626,1999,19,3.005682604407159,0,0,0,0
$2295,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.738488122494646,2000,18,2.3702437414678603,1,0,0,0
$1650,chicago,chicago city,2002 toyota camry solara,,6 cylinders,fwd,gas,16.0,black,,automatic,,0,1650,7.408530566894626,2002,16,2.772588722239781,0,0,0,0
$3500,chicago,chicago city,2002 toyota camry,,,,gas,14.326720833333335,,,automatic,,0,3500,8.160518247477505,2002,16,2.6621263833674,0,0,0,0
